# x_m,y_m,w_tr_right_m,w_tr_left_m
0.0,0.0,5.0,5.0
0.02053971285931766,-1.1104960450902581,5.0,5.0
0.04108003689907491,-2.2209945200011134,5.0,5.0
0.061620982247404754,-3.331495448946953,5.0,5.0
0.08216255553998053,-4.441998855210841,5.0,5.0
0.10270476248115301,-5.552504760213196,5.0,5.0
0.12323811918031424,-6.661904835142195,5.0,5.0
0.14378161577042192,-7.772415817715228,5.0,5.0
0.16432576288934797,-8.882929372601211,5.0,5.0
0.18487057171296328,-9.99344552308321,5.0,5.0
0.2054160478292033,-11.103964296169579,5.0,5.0
0.22510602104011923,-12.21449291985482,5.0,5.0
0.24565285304561257,-13.325017011724412,5.0,5.0
0.26620037702377886,-14.435543804429471,5.0,5.0
0.28674859751481563,-15.546073323115706,5.0,5.0
0.30729752231854945,-16.656605594791472,5.0,5.0
0.32784715946763754,-17.767140646465123,5.0,5.0
0.34839751897379756,-18.87767850700766,5.0,5.0
0.36893913510721177,-19.987110940739512,5.0,5.0
0.38949096051510423,-21.097654512152076,5.0,5.0
0.4100435330765322,-22.20820097718388,5.0,5.0
0.43059685826301575,-23.31875036843121,5.0,5.0
0.450294763664715,-24.42930994089693,5.0,5.0
0.47084962436929345,-25.53986527584493,5.0,5.0
0.491405266802758,-26.65042362641543,5.0,5.0
0.51196169690229,-27.76098502893001,5.0,5.0
0.5325189266586676,-28.87154951132834,5.0,5.0
0.5530769663164392,-29.982117109000683,5.0,5.0
0.5736358258873224,-31.09268785454333,5.0,5.0
0.5941955111920834,-32.203261783346534,5.0,5.0
0.6147465858375654,-33.31273076310754,5.0,5.0
0.6353079626569524,-34.423311167396605,5.0,5.0
0.6550140130566433,-35.533902106806636,5.0,5.0
0.6755771185271442,-36.644489124417305,5.0,5.0
0.6961411066586152,-37.75507950503379,5.0,5.0
0.7167059866478667,-38.865673284977674,5.0,5.0
0.7372717696707696,-39.97627049870789,5.0,5.0
0.7578384701628238,-41.0868711899966,5.0,5.0
0.7784060951089486,-42.197475396096706,5.0,5.0
0.7989746599923819,-43.308083158917725,5.0,5.0
0.819544178317301,-44.41869451571256,5.0,5.0
0.8401146600954235,-45.529309512116015,5.0,5.0
0.8606766919838265,-46.638820129446685,5.0,5.0
0.8803929556161165,-47.74944981560111,5.0,5.0
0.9009664087789133,-48.86007599532604,5.0,5.0
0.9215408792952076,-49.97070598974824,5.0,5.0
0.9421163816004992,-51.08133984077722,5.0,5.0
0.9626929282676429,-52.19197759684175,5.0,5.0
0.9832705359440297,-53.30261930450797,5.0,5.0
1.0038492158055305,-54.413265011273324,5.0,5.0
1.0244289870606735,-55.523914764635265,5.0,5.0
1.0450098640285432,-56.634568619541824,5.0,5.0
1.0655918614938855,-57.74522662255913,5.0,5.0
1.0861749950563535,-58.855888824909925,5.0,5.0
1.1058936980552971,-59.965454649180174,5.0,5.0
1.1264791573630646,-61.07612542528659,5.0,5.0
1.1470658065518364,-62.18680056463927,5.0,5.0
1.1676536600571126,-63.2974801203236,5.0,5.0
1.188242738135159,-64.40816414821893,5.0,5.0
1.208833057549782,-65.51885270886123,5.0,5.0
1.229424636112526,-66.62954585906118,5.0,5.0
1.250017496291548,-67.74024366121739,5.0,5.0
1.2706116570625454,-68.85094617400318,5.0,5.0
